row,subj,time,trial,stimulus,guess
433,86,1477408237940,2,BOOBBBBO,BBOOBOBO
434,86,1477408254572,3,OBBBOBOB,BOBBOBBO
435,86,1477408269949,4,OBOOOOOB,BOOOOBBO
436,87,1477408335714,0,OBOBBOOB,BOBOOBBO
437,87,1477408359410,1,BOOOBOBO,OOOOOBBB
438,87,1477408377241,2,OOOOOOOO,BBBOOOOO
439,87,1477408393057,3,OOBBOBOB,OOOOOOBB
440,87,1477409841466,4,OOOOOOBO,OOBOOBOO
441,88,1477408245515,0,OOOBOOBB,BBBOBBBB
442,88,1477408263660,1,BBOOBOBO,OOOOOOOO
443,88,1477408283244,2,OBBOOBOB,OOOOOOOO
444,88,1477408299837,3,BBOOBOBO,OOOOOOOO
445,88,1477408317030,4,OBBOOBBO,BBBBBBBB
446,89,1477408450792,0,BBBOOBOB,BBOBOOBB
447,89,1477408475879,1,BOOBBOOB,OBBBBBOB
448,89,1477408492359,2,OBBOOBBO,OOBBOOOB
449,89,1477408516023,3,BBOOBOBO,BBBOBBOB
450,89,1477408530735,4,OBBBOBOB,OOBOBOBB
451,90,1477462236078,0,BBBOBBOO,OBBBOOOO
452,90,1477462249086,1,OBBBBOOB,OOOOOBBB
453,90,1477462259414,2,BBOBOOOB,OOOOOBBB
454,90,1477462269150,3,OBBBBOOB,OOOOOBBB
455,90,1477462279582,4,BBBOOBOB,OOOOOBBB
456,91,1477408265477,0,BBBBOBOO,BBBBBOBB
457,91,1477408283637,1,BOBOOBBO,OOOOBOOB
458,91,1477408301532,2,OOBBOBOB,OBOBBOBB
459,91,1477408319909,3,BBBBBOBB,OBBBBBOB
460,91,1477408333635,4,BOBOOBBO,BOBOBOBO
461,92,1477408304639,0,OOBBBOOB,OBOBBBOB
462,92,1477408343417,1,OBOOOOOB,BBBBBBBB
